"Date","Hour","Age","Sex","Number","Area","Amount","Result"
2015-01-06,10,29,2,3,1,2600,0
2015-01-06,10,20,1,2,2,28100,0
2015-01-06,10,43,2,1,1,30900,1
2015-01-06,10,55,2,3,1,9700,0
2015-01-06,10,74,1,1,1,26700,1
2015-01-06,10,22,2,1,1,32300,0
2015-01-06,10,24,1,3,2,46500,1
2015-01-06,10,27,1,2,1,59200,1
2015-01-06,10,56,1,1,1,84600,0
2015-01-06,10,20,1,3,1,22400,0
2015-01-06,10,31,1,2,1,274100,0
2015-01-06,10,43,2,4,1,4000,0
2015-01-06,10,44,2,2,3,9700,0
2015-01-06,10,21,1,1,2,6900,1
2015-01-06,10,55,2,2,3,70500,0
2015-01-06,10,57,2,2,2,9700,0
2015-01-06,10,32,1,1,1,197700,0
2015-01-06,10,54,1,1,1,128500,0
2015-01-06,11,66,2,3,1,23800,0
2015-01-06,11,56,1,4,1,112900,0
2015-01-06,11,67,1,3,1,29500,1
2015-01-06,11,64,1,2,1,29500,1
2015-01-06,11,46,2,3,1,38000,0
2015-01-06,11,59,1,1,1,105800,0
2015-01-06,11,61,1,2,1,74700,0
2015-01-06,11,64,1,1,1,38000,0
2015-01-06,11,62,2,2,3,22400,0
2015-01-06,11,78,2,2,1,25200,1
2015-01-06,11,72,1,1,1,28100,0
2015-01-06,11,48,2,3,1,26700,1
2015-01-06,11,47,2,3,1,23800,1
2015-01-06,11,69,1,5,1,118600,0
2015-01-06,11,30,2,1,1,26700,0
2015-01-06,11,33,1,1,1,35100,0
2015-01-06,11,36,1,1,1,4000,1
2015-01-06,11,33,1,2,1,35100,0
2015-01-06,11,64,1,1,1,129900,1
2015-01-06,11,69,1,2,1,86000,1
2015-01-06,11,30,1,1,1,80400,0
2015-01-06,11,71,2,1,1,22400,1
2015-01-06,11,32,1,1,1,104400,1
2015-01-06,11,58,1,1,2,87500,0
2015-01-06,11,53,2,3,1,4000,0
2015-01-06,11,55,1,2,1,72800,0
2015-01-06,11,30,1,1,2,74300,0
2015-01-06,11,24,2,1,1,35100,1
2015-01-06,11,24,1,1,1,35100,1
2015-01-06,11,29,1,1,1,21000,1
2015-01-06,11,36,1,3,1,38000,1
2015-01-06,11,35,2,1,3,2600,0
2015-01-06,11,20,2,1,1,38000,1
2015-01-06,11,29,2,1,1,23800,0
2015-01-06,11,29,1,1,1,28100,1
2015-01-06,11,34,1,1,1,93100,0
2015-01-06,11,26,2,1,2,72200,0
2015-01-06,11,28,2,1,1,33700,1
2015-01-06,11,60,2,2,1,23800,1
2015-01-06,11,36,1,1,1,28200,1
2015-01-06,11,45,1,1,1,71900,1
2015-01-06,11,21,1,1,1,30900,0
2015-01-06,11,44,1,1,1,120000,0
2015-01-06,11,40,1,4,1,101600,0
2015-01-06,11,49,1,3,1,30900,1
2015-01-06,11,40,2,1,1,36600,0
2015-01-06,11,37,1,3,1,83200,0
2015-01-06,11,29,1,1,1,35100,1
2015-01-06,11,35,1,4,1,108700,0
2015-01-06,11,44,1,2,1,36600,1
2015-01-06,11,35,1,1,1,38000,0
2015-01-06,11,20,2,1,2,30900,0
2015-01-06,11,33,1,1,1,32300,0
2015-01-06,11,51,2,2,1,28100,1
2015-01-06,13,73,1,2,1,21000,1
2015-01-06,13,43,1,1,1,121400,1
2015-01-06,13,42,2,1,3,1200,0
2015-01-06,13,60,1,3,1,79000,0
2015-01-06,13,58,2,3,1,21000,0
2015-01-06,13,76,1,2,1,35100,0
2015-01-06,13,64,2,2,3,125600,0
2015-01-06,13,40,1,4,1,38100,1
2015-01-06,13,45,1,2,1,32300,1
2015-01-06,13,31,1,1,1,12500,1
2015-01-06,13,75,1,4,1,36600,1
2015-01-06,13,40,1,2,3,13900,0
2015-01-06,13,42,2,2,1,80400,0
2015-01-06,13,31,1,2,1,28100,1
2015-01-06,13,35,2,1,1,71600,0
2015-01-06,13,65,1,2,1,80400,0
2015-01-06,13,32,2,1,1,38000,0
2015-01-06,13,43,2,4,1,36600,0
2015-01-06,13,47,2,2,1,15400,1
2015-01-06,13,38,2,3,3,15400,1
2015-01-06,13,37,2,2,1,28100,0
2015-01-06,13,22,2,2,2,16800,1
2015-01-06,13,25,2,1,1,46500,1
2015-01-06,13,21,1,1,2,1200,0
2015-01-06,13,25,2,1,1,18200,1
2015-01-06,13,39,2,1,1,40800,0
2015-01-06,13,29,2,1,3,19600,1
2015-01-06,13,59,2,2,1,21000,1
2015-01-06,13,41,1,2,1,93100,0
2015-01-06,13,41,1,2,1,90000,0
2015-01-06,13,41,1,3,2,99300,0
2015-01-06,13,49,2,3,1,36600,0
2015-01-06,13,32,1,2,1,74700,0
2015-01-06,13,67,2,1,1,11100,0
2015-01-06,13,26,1,2,1,35100,0
2015-01-06,13,38,2,2,1,13900,1
2015-01-06,13,48,1,2,1,136900,0
2015-01-06,13,32,1,2,1,23800,1
2015-01-06,14,67,2,3,1,11100,1
2015-01-06,14,40,2,1,1,1200,1
2015-01-06,14,48,1,3,1,16800,1
2015-01-06,14,57,2,2,1,13900,0
2015-01-06,14,78,1,2,1,71800,1
2015-01-06,14,42,2,2,1,25200,0
2015-01-06,14,67,1,2,1,15400,0
2015-01-06,14,60,2,4,1,8300,1
2015-01-06,14,79,1,1,1,5500,1
2015-01-06,14,37,2,1,1,62400,0
2015-01-06,14,37,2,1,1,62400,0
2015-01-06,14,52,1,3,1,23800,1
2015-01-06,14,30,2,1,1,35100,1
2015-01-06,14,36,2,1,2,29500,0
2015-01-06,14,73,2,2,1,26700,1
2015-01-06,14,31,1,3,1,57800,1
2015-01-06,14,20,2,1,1,19600,0
2015-01-06,14,29,2,1,1,15400,0
2015-01-06,14,54,2,5,1,9700,0
2015-01-06,14,53,2,1,1,4000,1
2015-01-06,14,45,2,3,1,28100,0
2015-01-06,14,44,1,5,1,32300,1
2015-01-06,14,44,2,4,1,22400,1
2015-01-06,14,25,1,1,2,22400,0
2015-01-06,14,20,2,2,2,25200,1
2015-01-06,14,20,2,2,2,25200,1
2015-01-06,15,55,2,1,1,11100,0
2015-01-06,15,55,1,1,1,67700,1
2015-01-06,15,83,1,1,3,100,1
2015-01-06,15,64,2,1,1,29500,1
2015-01-06,15,47,2,1,2,2600,0
2015-01-06,15,41,1,2,1,21000,1
2015-01-06,15,44,2,2,1,47900,0
2015-01-06,15,47,1,3,1,15400,0
2015-01-06,15,63,1,2,1,9700,1
2015-01-06,15,50,2,2,1,36600,1
2015-01-06,15,48,2,2,3,42200,1
2015-01-06,15,32,1,3,1,59200,0
2015-01-06,15,37,1,1,1,63400,0
2015-01-06,15,32,2,1,1,18200,0
2015-01-06,15,59,2,1,1,52000,0
2015-01-06,15,59,2,1,1,52000,1
2015-01-06,15,59,2,1,1,52000,1
2015-01-06,15,26,1,1,1,42200,1
2015-01-06,15,20,2,1,1,11100,0
2015-01-06,15,20,2,1,1,11100,1
2015-01-06,15,23,2,1,2,22400,1
2015-01-06,15,54,2,1,1,9700,1
2015-01-06,15,27,1,1,1,47900,1
2015-01-06,15,21,1,1,1,15400,0
2015-01-06,15,21,1,1,1,15400,1
2015-01-06,15,24,1,1,1,21000,0
2015-01-06,15,28,2,3,1,38000,0
2015-01-06,15,28,1,2,1,39400,1
2015-01-06,15,25,2,3,1,39400,0
2015-01-06,15,22,2,1,1,36600,0
2015-01-06,15,22,2,1,1,4000,1
2015-01-06,15,67,2,1,1,60600,0
2015-01-06,15,48,2,4,1,25200,1
2015-01-06,15,54,2,5,1,4000,0
2015-01-06,15,62,2,1,1,18200,1
2015-01-06,15,58,2,1,2,38000,1
2015-01-06,15,21,2,1,1,50700,1
2015-01-06,15,41,2,2,1,32300,0
2015-01-06,15,49,2,1,2,30900,1
2015-01-06,15,43,1,5,1,54900,1
2015-01-06,15,40,2,2,1,48300,0
2015-01-06,15,40,2,2,1,48300,0
2015-01-06,15,23,1,1,1,19600,1
2015-01-06,15,46,2,2,1,42200,0
2015-01-06,15,36,1,3,1,49300,0
2015-01-06,15,36,1,3,1,49300,1
2015-01-06,15,36,1,3,1,49300,1
2015-01-06,15,24,2,1,1,19600,0
2015-01-06,15,23,1,1,1,52100,0
2015-01-06,15,44,2,2,1,6900,0
2015-01-06,15,50,2,3,3,21000,1
2015-01-06,16,45,2,4,1,56400,1
2015-01-06,16,59,2,3,1,19600,0
2015-01-06,16,55,2,2,1,32300,1
2015-01-06,16,40,1,4,2,40800,1
2015-01-06,16,68,1,4,1,33700,0
2015-01-06,16,43,2,4,1,8300,1
2015-01-06,16,53,1,2,1,9700,1
2015-01-06,16,61,2,5,1,15400,0
2015-01-06,16,40,2,4,1,8300,0
2015-01-06,16,43,2,1,1,16800,1
2015-01-06,16,47,1,5,1,11100,0
2015-01-06,16,47,1,5,1,11100,1
2015-01-06,16,43,1,1,1,57800,1
2015-01-06,16,43,1,1,1,57800,0
2015-01-06,16,43,1,1,1,57800,1
2015-01-06,16,65,2,5,3,8300,1
2015-01-06,16,65,2,2,1,11100,0
2015-01-06,16,35,2,4,1,16800,1
2015-01-06,16,69,2,2,1,5500,1
2015-01-06,16,52,2,1,1,5500,1
2015-01-06,16,53,2,3,1,16800,0
2015-01-06,16,27,2,1,1,12500,1
2015-01-06,16,54,2,4,1,28100,1
2015-01-06,16,22,1,1,1,18200,0
2015-01-06,16,29,2,1,2,22400,0
2015-01-06,16,20,1,1,2,18200,0
2015-01-06,16,46,2,2,1,18200,1
2015-01-06,16,40,2,1,1,18200,1
2015-01-06,16,52,1,3,1,23800,0
2015-01-06,16,59,2,5,1,26700,1
2015-01-06,16,40,1,1,1,97400,1
2015-01-06,16,42,2,2,1,11400,0
2015-01-06,16,52,1,2,1,310800,1
2015-01-06,16,49,2,2,1,125600,1
2015-01-06,16,20,2,3,2,35100,0
2015-01-06,16,47,1,4,1,59200,0
2015-01-06,16,56,2,3,2,26700,1
2015-01-06,16,29,1,3,2,17900,0
2015-01-06,16,35,1,4,1,13900,0
2015-01-06,16,22,1,1,1,16800,0
2015-01-06,16,22,2,1,2,23800,0
2015-01-06,16,26,2,1,1,11100,0
2015-01-06,16,39,1,3,1,19600,0
2015-01-07,9,68,2,2,1,45000,0
2015-01-07,9,69,1,1,1,69100,0
2015-01-07,9,63,1,5,1,120000,1
2015-01-07,9,44,1,3,1,46500,0
2015-01-07,9,65,1,2,1,69100,0
2015-01-07,9,62,2,4,1,2600,0
2015-01-07,9,57,1,1,1,64800,0
2015-01-07,9,54,1,3,1,66200,0
2015-01-07,9,43,1,4,1,63400,0
2015-01-07,9,65,1,3,1,67700,0
2015-01-07,9,62,1,4,1,53500,1
2015-01-07,9,49,1,4,1,76100,0
2015-01-07,9,55,2,1,1,4000,1
2015-01-07,9,31,1,1,3,66200,0
2015-01-07,9,47,1,3,1,52100,0
2015-01-07,9,37,2,2,2,5500,0
2015-01-07,9,51,1,3,1,95900,0
2015-01-07,9,36,2,1,1,9700,0
2015-01-07,9,41,2,2,1,56400,0
2015-01-07,9,33,2,1,1,9700,1
2015-01-07,9,38,1,1,1,19600,0
2015-01-07,9,37,1,2,1,47900,1
2015-01-07,9,38,2,4,1,8300,0
2015-01-07,9,30,2,1,3,64800,0
2015-01-07,9,47,1,1,1,45000,0
2015-01-07,9,35,1,1,1,8300,0
2015-01-07,9,20,2,1,2,46500,0
2015-01-07,9,50,2,3,1,64800,1
2015-01-07,9,50,2,3,1,64800,1
2015-01-07,9,23,2,3,1,36600,0
2015-01-07,9,20,2,1,3,9700,0
2015-01-07,9,22,2,1,1,5500,0
2015-01-07,9,23,2,1,1,9700,0
2015-01-07,9,32,1,1,1,59200,0
2015-01-07,9,28,1,2,1,43600,0
2015-01-07,9,44,2,1,1,42200,0
2015-01-07,9,21,1,3,1,1200,0
2015-01-07,9,44,1,3,1,56400,1
2015-01-07,9,44,1,2,1,13900,1
2015-01-07,9,47,2,1,1,53500,1
2015-01-07,9,24,1,1,1,42200,1
2015-01-07,9,46,2,3,1,40800,0
2015-01-07,9,26,1,2,1,1200,0
2015-01-07,9,58,2,1,1,53000,0
2015-01-07,9,67,1,3,1,1200,1
2015-01-07,9,43,2,3,1,5500,0
2015-01-07,9,25,1,1,1,46500,1
2015-01-07,9,30,1,2,2,8300,0
2015-01-07,9,27,1,2,1,93100,0
2015-01-07,9,48,1,5,1,18200,0
2015-01-07,9,41,2,2,1,9700,1
2015-01-07,9,53,2,2,1,1200,1
2015-01-07,9,73,1,2,1,100200,0
2015-01-07,9,47,1,3,1,66200,0
2015-01-07,10,41,2,2,1,54900,0
2015-01-07,10,49,1,3,3,5500,0
2015-01-07,10,53,1,1,1,52100,1
2015-01-07,10,60,2,1,1,6900,0
2015-01-07,10,52,1,2,1,156700,0
2015-01-07,10,54,1,2,1,32300,1
2015-01-07,10,35,1,1,3,64800,0
2015-01-07,10,67,1,1,1,42200,0
2015-01-07,10,41,2,1,1,60600,0
2015-01-07,10,33,2,1,1,62700,0
2015-01-07,10,34,1,1,1,60600,0
2015-01-07,10,24,1,1,1,35100,0
2015-01-07,10,31,1,1,2,53500,0
2015-01-07,10,22,2,1,2,42200,0
2015-01-07,10,74,1,1,1,26700,1
2015-01-07,10,74,1,1,1,26700,0
